indekss,Es plānoju samazināt pārtikas atkritumus mājsaimniecībā,Kādā veidā Jūs samaziniet savu atkritumu daudzumu?,"Ražotu dzērienu vietā (limonādes, ūdens pudelēs, alkoholiskie dzērieni) es dzeršu krāna ūdeni.",Kāda ir Jūsu uztura izvēle?,Kuras no sekojošām rīcībām Jūs būtu gatavi veikt?,"Vai varat īsi paskaidrot, kāpēc izvēlējāties iepriekš minētās darbības? (īsi pamatot, piemēram, ēst vairāk sezonālo augļu un dārzeņu, jo tie ir lētāki).",Kāda veida transportlīdzekļus Jūs izmantojat?,"Ja esat automašīnas īpašnieks, kuru no minētajām iespējām Jūs izvēlētos, lai būtu videi draudzīgāks?",Kāpēc neizvēlējāties kādu rīcību no augšā minētajām?,Kurš no sekojošiem apgalvojumiem Jums ir tuvāks?,"Kuras no sekojošām darbībām Jūs pārsvarā veicat ar informācijas un komunikācijas tehnoloģiju (IKT) ierīcēm (telefona, datora, televizora u.c.) un to lietošanu?","Kādas darbības Jūs mēģinat veikt, lai samazinātu enerģijas patēriņu?","Ja neveicat kādu no šīm darbībām, kāpēc ne?",Kādā mājokļa tipā Jūs dzīvojat?,"Ja Jūsu izvēle nav saistīta ar financēm, kāpēc Jūs izvēlējāties šo mājokļa tipu?",Vai Jūs atteiktos no liekas mājokļa platības?,Kāpēc?,Vai Jūs būtu ar mieru dzīvot koplietojamā mājoklī?,Kāpēc?,Vai Jūsu dzīvesvieta ir papildus nosiltināta?,"Ja atbildējāt ""nē"", paskaidrojiet, kāpēc?",Kurš no apgalvojumiem atbilst Jūsu dzīves situācijai?,Kurš no šiem apgalvojumiem ir patiess par Jūsu mājdzīvniekiem?,Kurš no apgalvojumiem par pārvietošanos brīvdienās un atvaļinājumos Jums ir patiess?,Kāpēc?,Kurš no šiem apgalvojumiem par apģērbu un apavu iegādi attiecas uz Jums?,Kurš no apgalvojumiem par Jums ir patiess?,Kāds ir Jūsu dzimums?,Kāds ir Jūsu vecums?,Kāds ir augstākais Jūsu iegūtais izglītības līmenis?,Kurš no šiem variantiem atspoguļo Jūsu mājsaimniecības ikmēneša neto ienākumus?,Kāds ir Jūsu pašreizējais nodarbinātības statuss?,Kāda ir Jūsu dzīvesvieta?,rezultāts
17,0,5,3,1,0,0,2,0,0,0,3,5,0,1,0,0,0,0,0,1,0,1,2,0,0,5,0,0,0,0,0,0,0,29
18,0,3,3,1,0,0,5,0,0,2,3,2,0,1,0,0,0,0,0,1,0,2,3,1,0,5,0,0,0,0,0,0,0,32
19,0,2,0,1,0,0,2,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,0,0,0,21
20,0,8,1,1,0,0,6,0,0,0,3,7,0,0,0,0,0,0,0,1,0,2,2,2,0,2,1,0,0,0,0,0,0,36
21,0,8,2,1,0,0,11,0,0,2,5,11,0,1,0,0,0,0,0,0,0,2,6,1,0,10,1,0,0,0,0,0,0,61
22,0,10,3,1,0,0,8,0,0,2,6,7,0,1,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,48
23,0,5,2,1,0,0,2,0,0,2,2,7,0,1,0,0,0,0,0,0,0,0,2,1,0,4,1,0,0,0,0,0,0,30
24,0,0,0,1,0,0,6,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
25,0,4,2,1,0,0,9,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,5,2,0,5,0,0,0,0,0,0,0,39
26,0,2,3,1,0,0,0,0,0,3,2,5,0,1,0,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,24
27,0,5,2,1,0,0,2,0,0,2,4,7,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,29
28,0,0,2,1,0,0,9,0,0,2,2,8,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,29
29,0,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,11
30,0,7,1,1,0,0,6,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,25
31,0,3,0,3,0,0,6,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,0,0,0,29
32,0,4,0,1,0,0,10,0,0,2,2,2,0,1,0,0,0,0,0,0,0,4,1,1,0,4,1,0,0,0,0,0,0,33
33,0,5,3,1,0,0,8,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,2,1,0,2,0,0,0,0,0,0,0,34
34,0,0,3,1,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,13
35,0,4,3,1,0,0,10,0,0,2,2,5,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,33
36,0,2,3,1,0,0,4,0,0,0,2,12,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,29
37,0,3,0,1,0,0,11,0,0,3,1,9,0,0,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,37
38,0,5,2,1,0,0,11,0,0,2,1,5,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,34
39,0,8,0,1,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,0,0,0,0,0,26
40,0,3,1,1,0,0,11,0,0,2,2,10,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,36
41,0,2,0,1,0,0,7,0,0,1,1,10,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,29
42,0,4,2,1,0,0,1,0,0,1,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,19
43,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,12
44,0,10,2,1,0,0,4,0,0,1,4,8,0,0,0,0,0,0,0,2,0,3,3,2,0,5,3,0,0,0,0,0,0,48
45,0,2,3,1,0,0,10,0,0,2,1,2,0,1,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,28
46,0,2,0,1,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,13
47,0,4,0,1,0,0,3,0,0,2,2,7,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,24
48,0,5,3,1,0,0,1,0,0,2,1,9,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,29
49,0,2,0,1,0,0,7,0,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,20
50,0,0,2,1,0,0,6,0,0,3,1,2,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,19
51,0,10,2,1,0,0,6,0,0,1,1,7,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,32
52,0,5,0,1,0,0,7,0,0,2,2,6,0,1,0,0,0,0,0,1,0,0,5,1,0,0,2,0,0,0,0,0,0,33
53,0,0,2,1,0,0,1,0,0,1,2,12,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,26
54,0,5,0,1,0,0,7,0,0,2,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25
55,0,2,0,1,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,14
